Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
MCX,mcx_fo,GOLDM,244447,OPTFUT,PE,54200,GOLDM22SEP54200PE,GOLDM22SEP54200PE,GOLDM 23SEP22 54200 PE,2022-09-23,100,0.5
MCX,mcx_fo,GOLDM,245677,OPTFUT,CE,54300,GOLDM22SEP54300CE,GOLDM22SEP54300CE,GOLDM 23SEP22 54300 CE,2022-09-23,100,0.5
MCX,mcx_fo,SILVER,233237,OPTFUT,CE,58000,SILVER22AUG58000CE,SILVER22AUG58000CE,SILVER 25AUG22 58000 CE,2022-08-25,30,0.5
MCX,mcx_fo,SILVER,233238,OPTFUT,PE,58000,SILVER22AUG58000PE,SILVER22AUG58000PE,SILVER 25AUG22 58000 PE,2022-08-25,30,0.5
MCX,mcx_fo,SILVER,233239,OPTFUT,CE,58250,SILVER22AUG58250CE,SILVER22AUG58250CE,SILVER 25AUG22 58250 CE,2022-08-25,30,0.5
MCX,mcx_fo,SILVER,233240,OPTFUT,PE,58250,SILVER22AUG58250PE,SILVER22AUG58250PE,SILVER 25AUG22 58250 PE,2022-08-25,30,0.5
MCX,mcx_fo,SILVER,233241,OPTFUT,CE,58500,SILVER22AUG58500CE,SILVER22AUG58500CE,SILVER 25AUG22 58500 CE,2022-08-25,30,0.5
MCX,mcx_fo,SILVER,233242,OPTFUT,PE,58500,SILVER22AUG58500PE,SILVER22AUG58500PE,SILVER 25AUG22 58500 PE,2022-08-25,30,0.5
MCX,mcx_fo,SILVER,233243,OPTFUT,CE,58750,SILVER22AUG58750CE,SILVER22AUG58750CE,SILVER 25AUG22 58750 CE,2022-08-25,30,0.5
MCX,mcx_fo,SILVER,233244,OPTFUT,PE,58750,SILVER22AUG58750PE,SILVER22AUG58750PE,SILVER 25AUG22 58750 PE,2022-08-25,30,0.5
MCX,mcx_fo,SILVER,233245,OPTFUT,CE,59000,SILVER22AUG59000CE,SILVER22AUG59000CE,SILVER 25AUG22 59000 CE,2022-08-25,30,0.5
MCX,mcx_fo,SILVER,233246,OPTFUT,PE,59000,SILVER22AUG59000PE,SILVER22AUG59000PE,SILVER 25AUG22 59000 PE,2022-08-25,30,0.5
MCX,mcx_fo,SILVER,233247,OPTFUT,CE,59250,SILVER22AUG59250CE,SILVER22AUG59250CE,SILVER 25AUG22 59250 CE,2022-08-25,30,0.5
MCX,mcx_fo,SILVER,233248,OPTFUT,PE,59250,SILVER22AUG59250PE,SILVER22AUG59250PE,SILVER 25AUG22 59250 PE,2022-08-25,30,0.5
MCX,mcx_fo,SILVER,233249,OPTFUT,CE,59500,SILVER22AUG59500CE,SILVER22AUG59500CE,SILVER 25AUG22 59500 CE,2022-08-25,30,0.5
MCX,mcx_fo,SILVER,235027,OPTFUT,PE,61500,SILVER22NOV61500PE,SILVER22NOV61500PE,SILVER 24NOV22 61500 PE,2022-11-24,30,0.5
MCX,mcx_fo,SILVER,235028,OPTFUT,CE,61750,SILVER22NOV61750CE,SILVER22NOV61750CE,SILVER 24NOV22 61750 CE,2022-11-24,30,0.5
MCX,mcx_fo,SILVER,235029,OPTFUT,PE,61750,SILVER22NOV61750PE,SILVER22NOV61750PE,SILVER 24NOV22 61750 PE,2022-11-24,30,0.5
MCX,mcx_fo,SILVER,235030,OPTFUT,CE,62000,SILVER22NOV62000CE,SILVER22NOV62000CE,SILVER 24NOV22 62000 CE,2022-11-24,30,0.5
MCX,mcx_fo,SILVER,235031,OPTFUT,PE,62000,SILVER22NOV62000PE,SILVER22NOV62000PE,SILVER 24NOV22 62000 PE,2022-11-24,30,0.5
MCX,mcx_fo,SILVER,235032,OPTFUT,CE,62250,SILVER22NOV62250CE,SILVER22NOV62250CE,SILVER 24NOV22 62250 CE,2022-11-24,30,0.5
MCX,mcx_fo,SILVER,235033,OPTFUT,PE,62250,SILVER22NOV62250PE,SILVER22NOV62250PE,SILVER 24NOV22 62250 PE,2022-11-24,30,0.5
MCX,mcx_fo,SILVER,235034,OPTFUT,CE,62500,SILVER22NOV62500CE,SILVER22NOV62500CE,SILVER 24NOV22 62500 CE,2022-11-24,30,0.5
MCX,mcx_fo,SILVER,235035,OPTFUT,PE,62500,SILVER22NOV62500PE,SILVER22NOV62500PE,SILVER 24NOV22 62500 PE,2022-11-24,30,0.5
MCX,mcx_fo,SILVER,235036,OPTFUT,CE,62750,SILVER22NOV62750CE,SILVER22NOV62750CE,SILVER 24NOV22 62750 CE,2022-11-24,30,0.5
MCX,mcx_fo,SILVER,235037,OPTFUT,PE,62750,SILVER22NOV62750PE,SILVER22NOV62750PE,SILVER 24NOV22 62750 PE,2022-11-24,30,0.5
MCX,mcx_fo,SILVER,235038,OPTFUT,CE,63000,SILVER22NOV63000CE,SILVER22NOV63000CE,SILVER 24NOV22 63000 CE,2022-11-24,30,0.5
MCX,mcx_fo,SILVER,235039,OPTFUT,PE,63000,SILVER22NOV63000PE,SILVER22NOV63000PE,SILVER 24NOV22 63000 PE,2022-11-24,30,0.5
MCX,mcx_fo,SILVER,235040,OPTFUT,CE,63250,SILVER22NOV63250CE,SILVER22NOV63250CE,SILVER 24NOV22 63250 CE,2022-11-24,30,0.5
MCX,mcx_fo,SILVER,235041,OPTFUT,PE,63250,SILVER22NOV63250PE,SILVER22NOV63250PE,SILVER 24NOV22 63250 PE,2022-11-24,30,0.5
MCX,mcx_fo,SILVER,235042,OPTFUT,CE,63500,SILVER22NOV63500CE,SILVER22NOV63500CE,SILVER 24NOV22 63500 CE,2022-11-24,30,0.5
MCX,mcx_fo,SILVER,235043,OPTFUT,PE,63500,SILVER22NOV63500PE,SILVER22NOV63500PE,SILVER 24NOV22 63500 PE,2022-11-24,30,0.5
MCX,mcx_fo,SILVER,235044,OPTFUT,CE,63750,SILVER22NOV63750CE,SILVER22NOV63750CE,SILVER 24NOV22 63750 CE,2022-11-24,30,0.5
MCX,mcx_fo,SILVER,235045,OPTFUT,PE,63750,SILVER22NOV63750PE,SILVER22NOV63750PE,SILVER 24NOV22 63750 PE,2022-11-24,30,0.5
MCX,mcx_fo,SILVER,235046,OPTFUT,CE,64000,SILVER22NOV64000CE,SILVER22NOV64000CE,SILVER 24NOV22 64000 CE,2022-11-24,30,0.5
MCX,mcx_fo,SILVER,235047,OPTFUT,PE,64000,SILVER22NOV64000PE,SILVER22NOV64000PE,SILVER 24NOV22 64000 PE,2022-11-24,30,0.5
MCX,mcx_fo,SILVER,235048,OPTFUT,CE,64250,SILVER22NOV64250CE,SILVER22NOV64250CE,SILVER 24NOV22 64250 CE,2022-11-24,30,0.5
MCX,mcx_fo,SILVER,235049,OPTFUT,PE,64250,SILVER22NOV64250PE,SILVER22NOV64250PE,SILVER 24NOV22 64250 PE,2022-11-24,30,0.5
MCX,mcx_fo,SILVER,235050,OPTFUT,CE,64500,SILVER22NOV64500CE,SILVER22NOV64500CE,SILVER 24NOV22 64500 CE,2022-11-24,30,0.5
MCX,mcx_fo,SILVER,235051,OPTFUT,PE,64500,SILVER22NOV64500PE,SILVER22NOV64500PE,SILVER 24NOV22 64500 PE,2022-11-24,30,0.5
MCX,mcx_fo,SILVER,235052,OPTFUT,CE,64750,SILVER22NOV64750CE,SILVER22NOV64750CE,SILVER 24NOV22 64750 CE,2022-11-24,30,0.5
MCX,mcx_fo,SILVER,235053,OPTFUT,PE,64750,SILVER22NOV64750PE,SILVER22NOV64750PE,SILVER 24NOV22 64750 PE,2022-11-24,30,0.5
MCX,mcx_fo,SILVER,235054,OPTFUT,CE,65000,SILVER22NOV65000CE,SILVER22NOV65000CE,SILVER 24NOV22 65000 CE,2022-11-24,30,0.5
MCX,mcx_fo,SILVER,235055,OPTFUT,PE,65000,SILVER22NOV65000PE,SILVER22NOV65000PE,SILVER 24NOV22 65000 PE,2022-11-24,30,0.5
MCX,mcx_fo,SILVER,235056,OPTFUT,CE,65250,SILVER22NOV65250CE,SILVER22NOV65250CE,SILVER 24NOV22 65250 CE,2022-11-24,30,0.5
MCX,mcx_fo,SILVER,235057,OPTFUT,PE,65250,SILVER22NOV65250PE,SILVER22NOV65250PE,SILVER 24NOV22 65250 PE,2022-11-24,30,0.5
MCX,mcx_fo,SILVER,235058,OPTFUT,CE,65500,SILVER22NOV65500CE,SILVER22NOV65500CE,SILVER 24NOV22 65500 CE,2022-11-24,30,0.5
MCX,mcx_fo,SILVER,235059,OPTFUT,PE,65500,SILVER22NOV65500PE,SILVER22NOV65500PE,SILVER 24NOV22 65500 PE,2022-11-24,30,0.5
